scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
6  -32 (4112,4220)     0 -25380 10000000000 1572364.3  1.3e+08    56.2    57.2    58.1   7.6   4.21
7  -32 (4112,4220)     0 -24263 10000000000 1647931.4  1.3e+08    58.8    59.9    60.9   7.7   4.17
8  -32 (4112,4220)     0 -22091 10000000000 3116690.4  1.8e+08    47.8    48.5    49.2   7.4   4.34
9  -32 (4112,4220)     0 -17151 10000000000 622938.3  7.9e+07    52.2    53.0    53.8   7.5   4.27
10  -32 (4112,4220)     0 -26223 10000000000 2425464.7  1.6e+08    60.2    61.3    62.5   7.7   4.15
11  -32 (4112,4220)     0 -19833 10000000000 1003687.1  1.0e+08    60.0    61.0    62.0   7.7   4.16
12  -32 (4112,4220)     0 -15819 10000000000 1370711.4  1.2e+08    54.5    55.4    56.3   7.6   4.23
13  -32 (4112,4220)     0 -11847 10000000000 1382033.9  1.2e+08    61.3    62.3    63.4   7.7   4.14

scn_mbs_osi_runID_004_00161_Int-400_Exp-10800_09Oct16_10:32_to_09Oct16_13:36.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4379 10000000000 393334.8  6.3e+07    52.1    53.0    55.1   7.5   4.27
1  -32 (4112,4220)     0 -19785 10000000000 1051321.0  1.0e+08    57.7    59.0    61.8   7.6   4.19
2  -32 (4112,4220)     0 -19216 10000000000 506960.3  7.1e+07    46.2    47.1    48.3   7.3   4.37
3  -32 (4112,4220)     0  -9967 10000000000 753841.7  8.7e+07    48.0    48.9    50.2   7.4   4.34
4  -32 (4112,4220)     0 -11252 10000000000 1293377.8  1.1e+08    39.6    40.3    41.3   7.1   4.51
5  -32 (4112,4220)     0 -18927 10000000000 500409.7  7.1e+07    36.9    37.4    38.1   7.0   4.57
6  -32 (4112,4220)     0 -25009 10000000000 1528991.5  1.2e+08    52.0    53.1    55.2   7.5   4.27
